bookID,Title,Authors,Average Rating,isbn,isbn13,Language Code,Number Pages,Ratings Count,Text Reviews Count,Publication Date,Publisher,Authors_Freq,Publisher_Freq,Cluster
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,eng,652.0000000000005,2095690.000000001,27591.000000000273,2006-09-16,Scholastic Inc.,6,13,0
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,eng,869.9999999999995,2153166.9999999786,29221.000000000262,2004-09-01,Scholastic Inc.,6,13,0
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352.0,6332.999999999998,244.0,2003-11-01,Scholastic,11,33,0
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,434.9999999999999,2339584.9999999898,36324.999999998035,2004-05-01,Scholastic Inc.,6,13,0
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.779999999999992,0439682584,9780439682589,eng,2690.0000000001596,41428.00000000005,164.0,2004-09-13,Scholastic,6,33,0
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,en-US,152.00000000000003,19.000000000000114,1.0,2005-04-26,Nimble Books,1,1,0
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3341.9999999999623,28242.000000000055,807.9999999999993,2005-09-12,Scholastic,11,33,0
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815.0000000000001,3627.999999999999,254.0,2005-11-01,Gramercy Books,14,13,0
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815.0000000000001,249557.99999999977,4079.999999999995,2002-04-30,Del Rey Books,14,33,0
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215.0,4930.000000000001,460.0000000000001,2004-08-03,Crown,14,7,0
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,eng,6.0,1266.0,253.00000000000006,2005-03-23,Random House Audio,1,33,0
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815.0000000000001,2877.0,195.0,1996-01-17,Wings Books,14,3,0
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544.0,248558.0000000002,9395.999999999984,2004-09-14,Broadway Books,21,49,0
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,54.999999999999716,7270.000000000002,499.0000000000001,2002-12-03,Broadway Books,21,49,0
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256.0,2088.0,131.0,2004-09-14,Broadway Books,21,49,0
